company;title;totalyearlycompensation;location;yearsofexperience;yearsatcompany;gender;Education
PayPal;Software Engineer;118000;Austin, TX;1;0;Male;Master's Degree
Amazon;Software Engineer;193000;Seattle, WA;5;5;Male;Master's Degree
Microsoft;Software Engineering Manager;302000;Redmond, WA;13;13;Male;PhD
Microsoft;Software Engineer;187000;Redmond, WA;6;0;Male;Master's Degree
Apple;Hardware Engineer;190000;Cupertino, CA;5;2;Male;Master's Degree
Salesforce;Software Engineer;238000;San Francisco, CA;5;4;Male;Master's Degree
Salesforce;Software Engineer;203000;San Francisco, CA;3;0;Male;Master's Degree
Amazon;Software Engineer;160000;Seattle, WA;1;0;Male;Master's Degree
Salesforce;Software Engineer;300000;San Francisco, CA;8;2;Female;Master's Degree
Google;Software Engineer;270000;San Francisco, CA;4;0;Male;Master's Degree
Google;Product Manager;209000;London, EN, United Kingdom;20;1;Female;Master's Degree
Microsoft;Software Engineer;200000;Boston, MA;0;0;Male;Master's Degree
Google;Software Engineer;258000;Seattle, WA;12;1;Male;Master's Degree
VMware;Software Engineer;222000;Hillsboro, OR;11;1;Male;Master's Degree
Microsoft;Software Engineer;188000;Redmond, WA;11;8;Male;Master's Degree
Apple;Hardware Engineer;160000;Cupertino, CA;4;1;Male;PhD
Amazon;Business Analyst;121000;Seattle, WA;4;0.3;Female;Master's Degree
Twitter;Software Engineer;324000;Boston, MA;13;5;Male;Master's Degree
Microsoft;Software Engineer;158000;Redmond, WA;0;0;Female;PhD
PayPal;Software Engineer;307000;San Jose, CA;7;1;Male;Master's Degree
Facebook;Data Scientist;177000;Menlo Park, CA;0;0;Male;Master's Degree
Qualcomm;Software Engineer;173000;San Diego, CA;0;0;Male;Master's Degree
Google;Software Engineering Manager;710000;Sunnyvale, CA;20;0;Male;Master's Degree
VMware;Product Manager;248000;Palo Alto, CA;6;1;Male;Master's Degree
Amazon;Software Engineer;155000;Seattle, WA;0;0;Male;Master's Degree
Oracle;Software Engineer;185000;Seattle, WA;0;0;Male;Master's Degree
Amazon;Software Engineer;142000;Seattle, WA;0;0;Male;Master's Degree
Adobe;Software Engineer;160000;San Jose, CA;4;4;Male;Master's Degree
Apple;Software Engineer;160000;Cupertino, CA;0;0;Female;Master's Degree
Google;Software Engineer;712000;Mountain View, CA;10;4;Male;Master's Degree
Cisco;Software Engineer;220000;San Jose, CA;12;6.5;Male;Master's Degree
IBM;Software Engineer;135000;Atlanta, GA;1;0;Male;Master's Degree
Google;Software Engineer;317000;Mountain View, CA;11;4;Male;Master's Degree
Google;Software Engineer;337000;Mountain View, CA;5;5;Female;Master's Degree
Apple;Hardware Engineer;245000;Cupertino, CA;5;1;Male;PhD
Uber;Product Manager;170000;San Francisco, CA;1.5;1;Female;Master's Degree
Google;Software Engineer;345000;New York, NY;10;5;Male;Master's Degree
Amazon;Software Engineer;253000;Seattle, WA;3;0;Male;Master's Degree
Intuit;Software Engineer;342000;Mountain View, CA;12;2;Male;Master's Degree
Facebook;Data Scientist;203000;Menlo Park, CA;0;0;Female;PhD
LinkedIn;Software Engineer;440000;Sunnyvale, CA;5;5;Male;Master's Degree
Qualcomm;Software Engineer;175000;San Diego, CA;5;1;Female;Master's Degree
Qualcomm;Software Engineer;188000;San Diego, CA;6;6;Male;Master's Degree
Facebook;Software Engineer;488000;Seattle, WA;21;0;Male;Master's Degree
Qualcomm;Software Engineering Manager;165000;Hyderabad, TS, India;17;7;Male;Master's Degree
Google;Software Engineer;248000;Mountain View, CA;6;4;Male;Master's Degree
Salesforce;Software Engineer;177000;San Francisco, CA;0;0;Female;Master's Degree
Google;Software Engineer;352000;Mountain View, CA;15;2.5;Male;Master's Degree
Qualcomm;Software Engineer;143000;San Diego, CA;5;5;Male;Master's Degree
Facebook;Software Engineer;251000;New York, NY;3;0;Male;Master's Degree
VMware;Software Engineer;182000;Palo Alto, CA;0;0;Female;Master's Degree
Adobe;Software Engineer;455000;Seattle, WA;7;7;Male;PhD
LinkedIn;Software Engineer;236000;Sunnyvale, CA;6;1;Male;Master's Degree
Amazon;Software Engineer;218000;New York, NY;3;3;Male;Master's Degree
Facebook;Software Engineer;430000;Menlo Park, CA;15;2;Male;Master's Degree
Cisco;Product Manager;177000;San Jose, CA;4;0.5;Male;Master's Degree
Amazon;Product Manager;90000;Bangalore, KA, India;3;3;Male;Master's Degree
Deloitte;Software Engineer;137000;Arlington, VA;5;2;Male;Master's Degree
Cisco;Software Engineer;165000;Vancouver, BC, Canada;8;3;Male;Master's Degree
Uber;Software Engineer;400000;Seattle, WA;10;5;Male;PhD
Cisco;Software Engineer;195000;San Jose, CA;8;8;Male;Master's Degree
Intel;Hardware Engineer;278000;Santa Clara, CA;28;19;Male;Master's Degree
Google;Product Manager;190000;Mountain View, CA;4;0;Male;Master's Degree
Google;Software Engineer;194000;Sunnyvale, CA;1;1;Male;Master's Degree
VMware;Software Engineer;190000;Palo Alto, CA;8;5;Male;Master's Degree
Google;Software Engineer;402000;New York, NY;6;6;Male;PhD
Microsoft;Data Scientist;144000;Redmond, WA;1;1;Male;PhD
Walmart Labs;Software Engineer;220000;Sunnyvale, CA;4;2;Male;Master's Degree
Google;Software Engineer;255000;Mountain View, CA;1;1;Male;PhD
Google;Product Manager;394000;Mountain View, CA;15;4;Male;Master's Degree
Microsoft;Software Engineer;161000;Seattle, WA;4;1.5;Male;Master's Degree
Google;Software Engineer;268000;New York, NY;3;3;Female;Master's Degree
Qualcomm;Software Engineer;291000;San Diego, CA;11;8.5;Male;Master's Degree
Google;Software Engineer;307000;Mountain View, CA;3;3;Male;Master's Degree
Uber;Data Scientist;180000;San Francisco, CA;6;1;Male;Master's Degree
Intel;Hardware Engineer;190000;Boston, MA;10;4;Male;Master's Degree
Amazon;Software Engineer;280000;San Francisco, CA;3;0;Male;Master's Degree
Walmart Labs;Software Engineering Manager;189000;Bangalore, KA, India;14;3;Male;Master's Degree
Salesforce;Software Engineer;619000;San Francisco, CA;23;1;Female;Master's Degree
Google;Product Designer;210000;Chicago, IL;7;2;Male;Master's Degree
Uber;Software Engineer;450000;San Francisco, CA;15;4;Male;Master's Degree
Amazon;Software Engineer;165000;Seattle, WA;3;0;Male;Master's Degree
Intel;Hardware Engineer;190000;Santa Clara, CA;7;3;Male;Master's Degree
Amazon;Software Engineer;142000;Seattle, WA;0;0;Male;Master's Degree
Expedia;Software Engineer;97000;Chicago, IL;2;1;Male;Master's Degree
Facebook;Product Designer;332000;Menlo Park, CA;15;3;Male;Master's Degree
eBay;Software Engineer;285000;San Jose, CA;19;8;Male;Master's Degree
Facebook;Software Engineer;370000;Menlo Park, CA;7;1;Male;Master's Degree
Google;Software Engineer;211000;Mountain View, CA;3;1;Male;Master's Degree
Amazon;Software Engineer;158000;Vancouver, BC, Canada;4;2;Male;Master's Degree
VMware;Software Engineer;156000;Boston, MA;1;1;Male;Master's Degree
Microsoft;Software Engineer;202000;Redmond, WA;4;4;Male;Master's Degree
Amazon;Software Engineer;221000;Seattle, WA;9;2;Male;Master's Degree
Facebook;Software Engineer;148000;London, EN, United Kingdom;6;0;Male;Master's Degree
Google;Software Engineer;206000;New York, NY;2;2;Male;PhD
Amazon;Software Engineer;165000;Arlington, VA;6;0;Male;Master's Degree
Google;Software Engineer;272000;San Francisco, CA;4;3;Male;Master's Degree
Microsoft;Data Scientist;170000;Seattle, WA;6;2;Female;Master's Degree
Amazon;Software Engineer;305000;New York, NY;6;1;Male;Master's Degree
Amazon;Product Manager;295000;Sunnyvale, CA;12;2;Female;Master's Degree
Amazon;Software Engineer;182000;Seattle, WA;3;3;Male;Master's Degree
Intuit;Data Scientist;300000;Mountain View, CA;7;0;Male;PhD
Amazon;Software Engineering Manager;430000;Seattle, WA;15;10;Male;Master's Degree
Microsoft;Hardware Engineer;185000;Redmond, WA;2;0;Male;Master's Degree
Facebook;Software Engineer;273000;Menlo Park, CA;6;0;Male;Master's Degree
Apple;Hardware Engineer;385000;Cupertino, CA;11;7;Male;Master's Degree
Microsoft;Software Engineer;159000;Redmond, WA;0;0;Male;Master's Degree
Microsoft;Software Engineer;315000;Bellevue, WA;8;2;Male;Master's Degree
Google;Product Designer;169000;Mountain View, CA;0;0;Female;Master's Degree
Google;Software Engineer;491000;Mountain View, CA;6;3;Male;Master's Degree
Wayfair;Software Engineer;160000;Boston, MA;4;0;Male;Master's Degree
Amazon;Software Engineer;240000;Seattle, WA;7;3;Male;Master's Degree
Amazon;Product Manager;340000;Seattle, WA;16;2;Male;Master's Degree
Google;Software Engineer;322000;New York, NY;4;1;Male;Master's Degree
Amazon;Data Scientist;180000;Seattle, WA;5;2.7;Male;Master's Degree
Apple;Software Engineer;273000;Cupertino, CA;1;1;Male;PhD
Google;Software Engineer;264000;Sunnyvale, CA;0;0;Male;PhD
Amazon;Product Manager;185000;Seattle, WA;3;2;Male;Master's Degree
Google;Software Engineer;326000;Sunnyvale, CA;5;5;Male;Master's Degree
Amazon;Software Engineer;282000;Seattle, WA;5;0;Male;Master's Degree
Oracle;Software Engineer;355000;Seattle, WA;16;2;Male;Master's Degree
Apple;Software Engineer;425000;Cupertino, CA;23;9;Male;Master's Degree
Capital One;Software Engineer;127000;San Francisco, CA;3;3;Male;Bachelor's Degree
Cisco;Software Engineer;28000;Bangalore, KA, India;3;3;Male;Master's Degree
Microsoft;Software Engineer;174000;Redmond, WA;3;3;Male;PhD
