genre,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
R&B,65,0.083,0.724,246333,0.689,0,D,0.304,-5.922,Minor,0.135,146.496,4/4,0.693
R&B,63,0.323,0.685,186467,0.61,0,C,0.102,-5.221,Minor,0.0439,94.384,3/4,0.323
R&B,62,0.0675,0.762,199520,0.52,3.95E-6,F,0.114,-5.237,Minor,0.0959,75.047,4/4,0.0862
R&B,61,0.36,0.563,240597,0.366,0.00243,B,0.0955,-6.896,Minor,0.121,85.352,4/4,0.768
R&B,68,0.596,0.653,213947,0.621,0,B,0.0811,-5.721,Minor,0.0409,100.006,4/4,0.466
R&B,61,0.661,0.51,205640,0.331,0,B,0.123,-13.073,Minor,0.0895,124.657,4/4,0.225
R&B,64,0.667,0.67,239147,0.649,1.3E-4,C,0.109,-7.426,Minor,0.0875,147.935,4/4,0.618
R&B,66,0.975,0.377,334570,0.255,2.08E-4,E,0.102,-11.165,Minor,0.0387,125.004,5/4,0.37
R&B,60,0.72,0.523,170343,0.507,0,G,0.0774,-6.448,Minor,0.225,140.368,4/4,0.7
R&B,69,0.0359,0.761,219120,0.639,0,F,0.0945,-7.577,Minor,0.0539,164.088,4/4,0.922
R&B,71,0.735,0.501,257733,0.378,0,E,0.119,-9.37,Major,0.029,119.987,4/4,0.178
R&B,69,0.241,0.639,234413,0.659,8.33E-6,G#,0.484,-7.273,Major,0.215,136.801,4/4,0.457
R&B,76,0.0233,0.845,187521,0.709,0,A#,0.094,-4.547,Minor,0.0714,98.062,4/4,0.62
R&B,61,0.0808,0.584,203227,0.687,0,C#,0.2,-7.176,Minor,0.321,129.902,4/4,0.324
R&B,66,0.288,0.741,319973,0.345,0,C#,0.117,-11.31,Major,0.0754,120.015,4/4,0.277
R&B,65,0.0174,0.751,264847,0.766,8.07E-6,F,0.658,-3.594,Major,0.0515,109.897,4/4,0.673
R&B,61,0.184,0.791,171392,0.494,0.0182,A,0.482,-8.705,Major,0.347,146.003,4/4,0.6
R&B,62,0.458,0.703,158947,0.586,0,B,0.154,-4.587,Minor,0.212,149.736,4/4,0.264
R&B,65,0.576,0.457,265883,0.337,9.27E-6,F#,0.19,-10.825,Minor,0.166,66.933,3/4,0.184
R&B,65,0.775,0.759,216234,0.342,0,C#,0.112,-9.044,Minor,0.0406,99.995,4/4,0.22
R&B,63,0.0759,0.546,234759,0.698,1.31E-4,C,0.0613,-4.678,Major,0.0987,72.417,4/4,0.616
R&B,68,0.0306,0.69,226632,0.502,0,C,0.145,-7.077,Minor,0.0638,86.185,4/4,0.329
