Mes,Ciudad,Dia,Temperatura_2018,Temperatura_2019,Diferencia
Enero,Bogotá,1,56.1,56.8,0.6999999999999957
Enero,Bogotá,2,54.3,57.4,3.1000000000000014
Enero,Bogotá,3,55.5,55.7,0.20000000000000284
Enero,Bogotá,5,56.1,54.7,-1.3999999999999986
Enero,Bogotá,6,58.2,57.8,-0.4000000000000057
Enero,Bogotá,7,55,56.4,1.3999999999999986
Enero,Bogotá,8,56.3,55.5,-0.7999999999999972
Enero,Bogotá,9,57.4,56.1,-1.2999999999999972
Enero,Bogotá,10,57.7,56.9,-0.8000000000000043
Enero,Bogotá,11,57,57,0
Enero,Bogotá,12,57.4,55.1,-2.299999999999997
Enero,Bogotá,13,56.5,56.9,0.3999999999999986
Enero,Bogotá,14,55.9,57.1,1.2000000000000028
Enero,Bogotá,15,54.4,58.1,3.700000000000003
Enero,Bogotá,16,56.4,56.7,0.30000000000000426
Enero,Bogotá,17,56.1,56.9,0.7999999999999972
Enero,Bogotá,18,55.5,57.1,1.6000000000000014
Enero,Bogotá,19,56.8,57.9,1.1000000000000014
Enero,Bogotá,20,57.5,59.4,1.8999999999999986
Enero,Bogotá,21,55.3,55.3,0
Enero,Bogotá,22,54.8,57,2.200000000000003
Enero,Bogotá,24,53.7,61.5,7.799999999999997
Enero,Bogotá,25,54.1,57.8,3.6999999999999957
Enero,Bogotá,26,54.8,58.8,4
Enero,Bogotá,27,54.1,56.3,2.1999999999999957
Enero,Bogotá,28,57.4,56.1,-1.2999999999999972
Enero,Bogotá,29,56.6,57.2,0.6000000000000014
Enero,Bogotá,30,55.9,54.4,-1.5
Enero,Bogotá,31,56,56.4,0.3999999999999986
Febrero,Bogotá,1,54.8,59.1,4.300000000000004
Febrero,Bogotá,2,58.5,58.6,0.10000000000000142
Febrero,Bogotá,3,57,58,1
Febrero,Bogotá,4,59.2,55.9,-3.3000000000000043
Febrero,Bogotá,5,59.8,56.9,-2.8999999999999986
Febrero,Bogotá,6,58.6,56.6,-2
Febrero,Bogotá,7,60.3,57.6,-2.6999999999999957
Febrero,Bogotá,8,55.6,59.7,4.100000000000001
Febrero,Bogotá,9,59,59,0
Febrero,Bogotá,10,58.9,56.8,-2.1000000000000014
Febrero,Bogotá,11,58.2,57.4,-0.8000000000000043
Febrero,Bogotá,12,58.1,56.9,-1.2000000000000028
Febrero,Bogotá,13,56.9,56.9,0
Febrero,Bogotá,14,59,58.2,-0.7999999999999972
Febrero,Bogotá,15,57.9,58,0.10000000000000142
Febrero,Bogotá,16,57.8,59.5,1.7000000000000028
Febrero,Bogotá,17,58.5,58.9,0.3999999999999986
Febrero,Bogotá,18,58.6,58.5,-0.10000000000000142
Febrero,Bogotá,19,58.7,58.6,-0.10000000000000142
Febrero,Bogotá,20,58.2,58.9,0.6999999999999957
Febrero,Bogotá,21,56.8,59.2,2.4000000000000057
Febrero,Bogotá,22,56.8,58.1,1.3000000000000043
Febrero,Bogotá,23,55.2,58.7,3.5
Febrero,Bogotá,24,55.1,58,2.8999999999999986
Febrero,Bogotá,25,52.4,59.2,6.800000000000004
Febrero,Bogotá,26,53.4,55.8,2.3999999999999986
Febrero,Bogotá,27,54,56.9,2.8999999999999986
Febrero,Bogotá,28,56.6,58.5,1.8999999999999986
Marzo,Bogotá,1,56.6,57.6,1
Marzo,Bogotá,2,57.7,56.7,-1
Marzo,Bogotá,3,57.5,57.8,0.29999999999999716
Marzo,Bogotá,4,55.9,57.6,1.7000000000000028
Marzo,Bogotá,5,55.3,59.4,4.100000000000001
Marzo,Bogotá,6,55.9,60.6,4.700000000000003
Marzo,Bogotá,7,57.3,58.4,1.1000000000000014
Marzo,Bogotá,8,57.1,57.7,0.6000000000000014
Marzo,Bogotá,9,56.7,59.4,2.6999999999999957
Marzo,Bogotá,10,56.7,59.5,2.799999999999997
Marzo,Bogotá,11,59.6,59.8,0.19999999999999574
Marzo,Bogotá,12,56.8,59.4,2.6000000000000014
Marzo,Bogotá,13,55.6,59.3,3.6999999999999957
Marzo,Bogotá,14,57,59.5,2.5
Marzo,Bogotá,15,55.2,59.8,4.599999999999994
Marzo,Bogotá,16,58.8,58.6,-0.19999999999999574
Marzo,Bogotá,17,55.3,60.3,5
Marzo,Bogotá,18,57.2,59,1.7999999999999972
Marzo,Bogotá,19,57.7,58.7,1
Marzo,Bogotá,20,59.5,56,-3.5
Marzo,Bogotá,21,59.1,57.6,-1.5
Marzo,Bogotá,22,58,57,-1
Marzo,Bogotá,23,57.4,58,0.6000000000000014
Marzo,Bogotá,24,56.2,58.8,2.5999999999999943
Marzo,Bogotá,25,58.9,57.7,-1.1999999999999957
Marzo,Bogotá,26,59,57.4,-1.6000000000000014
Marzo,Bogotá,27,58.2,59.6,1.3999999999999986
Marzo,Bogotá,28,56.9,58.6,1.7000000000000028
Marzo,Bogotá,29,57.8,59.4,1.6000000000000014
Marzo,Bogotá,30,56.6,58.1,1.5
Marzo,Bogotá,31,57.6,60.3,2.6999999999999957
Abril,Bogotá,1,56.6,59.4,2.799999999999997
Abril,Bogotá,2,56.9,57.2,0.30000000000000426
Abril,Bogotá,3,57,56.8,-0.20000000000000284
Abril,Bogotá,4,56.2,60,3.799999999999997
Abril,Bogotá,5,56.4,60.2,3.8000000000000043
Abril,Bogotá,6,54.9,61.1,6.200000000000003
Abril,Bogotá,7,56.1,60.6,4.5
Abril,Bogotá,8,56.2,60.2,4
Abril,Bogotá,9,57.3,58,0.7000000000000028
Abril,Bogotá,10,56.5,58.5,2
