age;job;marital;education;default;balance;housing;loan;poutcome;y
58;management;married;tertiary;no;2143;yes;no;unknown;no
44;technician;single;secondary;no;29;yes;no;unknown;no
33;entrepreneur;married;secondary;no;2;yes;yes;unknown;no
35;management;married;tertiary;no;231;yes;no;unknown;no
28;management;single;tertiary;no;447;yes;yes;unknown;no
42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;no
58;retired;married;primary;no;121;yes;no;unknown;no
43;technician;single;secondary;no;593;yes;no;unknown;no
41;admin.;divorced;secondary;no;270;yes;no;unknown;no
29;admin.;single;secondary;no;390;yes;no;unknown;no
53;technician;married;secondary;no;6;yes;no;unknown;no
57;services;married;secondary;no;162;yes;no;unknown;no
51;retired;married;primary;no;229;yes;no;unknown;no
57;blue-collar;married;primary;no;52;yes;no;unknown;no
60;retired;married;primary;no;60;yes;no;unknown;no
33;services;married;secondary;no;0;yes;no;unknown;no
28;blue-collar;married;secondary;no;723;yes;yes;unknown;no
56;management;married;tertiary;no;779;yes;no;unknown;no
32;blue-collar;single;primary;no;23;yes;yes;unknown;no
25;services;married;secondary;no;50;yes;no;unknown;no
40;retired;married;primary;no;0;yes;yes;unknown;no
44;admin.;married;secondary;no;-372;yes;no;unknown;no
39;management;single;tertiary;no;255;yes;no;unknown;no
52;entrepreneur;married;secondary;no;113;yes;yes;unknown;no
46;management;single;secondary;no;-246;yes;no;unknown;no
36;technician;single;secondary;no;265;yes;yes;unknown;no
57;technician;married;secondary;no;839;no;yes;unknown;no
49;management;married;tertiary;no;378;yes;no;unknown;no
60;admin.;married;secondary;no;39;yes;yes;unknown;no
59;blue-collar;married;secondary;no;0;yes;no;unknown;no
57;technician;divorced;secondary;no;63;yes;no;unknown;no
25;blue-collar;married;secondary;no;-7;yes;no;unknown;no
53;technician;married;secondary;no;-3;no;no;unknown;no
36;admin.;divorced;secondary;no;506;yes;no;unknown;no
37;admin.;single;secondary;no;0;yes;no;unknown;no
44;services;divorced;secondary;no;2586;yes;no;unknown;no
50;management;married;secondary;no;49;yes;no;unknown;no
54;retired;married;secondary;no;529;yes;no;unknown;no
36;admin.;single;primary;no;-171;yes;no;unknown;no
58;self-employed;married;tertiary;no;-364;yes;no;unknown;no
44;technician;married;secondary;no;0;yes;no;unknown;no
55;technician;divorced;secondary;no;0;no;no;unknown;no
29;management;single;tertiary;no;0;yes;no;unknown;no
54;blue-collar;married;secondary;no;1291;yes;no;unknown;no
48;management;divorced;tertiary;no;-244;yes;no;unknown;no
32;management;married;tertiary;no;0;yes;no;unknown;no
42;admin.;single;secondary;no;-76;yes;no;unknown;no
24;technician;single;secondary;no;-103;yes;yes;unknown;no
38;entrepreneur;single;tertiary;no;243;no;yes;unknown;no
38;management;single;tertiary;no;424;yes;no;unknown;no
46;services;married;primary;no;179;yes;no;unknown;no
32;admin.;married;tertiary;no;0;yes;no;unknown;no
53;technician;divorced;secondary;no;989;yes;no;unknown;no
57;blue-collar;married;primary;no;249;yes;no;unknown;no
33;services;married;secondary;no;790;yes;no;unknown;no
60;retired;married;tertiary;no;100;no;no;unknown;no
59;management;divorced;tertiary;no;59;yes;no;unknown;no
55;technician;married;secondary;no;1205;yes;no;unknown;no
31;services;married;secondary;no;25;yes;yes;unknown;no
54;management;married;secondary;no;282;yes;yes;unknown;no
55;blue-collar;married;primary;no;23;yes;no;unknown;no
43;technician;married;secondary;no;1937;yes;no;unknown;no
53;technician;married;secondary;no;384;yes;no;unknown;no
44;blue-collar;married;secondary;no;582;no;yes;unknown;no
55;services;divorced;secondary;no;91;no;no;unknown;no
49;services;divorced;secondary;no;0;yes;yes;unknown;no
55;services;divorced;secondary;yes;1;yes;no;unknown;no
45;admin.;single;secondary;no;206;yes;no;unknown;no
47;services;divorced;secondary;no;164;no;no;unknown;no
42;technician;single;secondary;no;690;yes;no;unknown;no
59;admin.;married;secondary;no;2343;yes;no;unknown;yes
46;self-employed;married;tertiary;no;137;yes;yes;unknown;no
51;blue-collar;married;primary;no;173;yes;no;unknown;no
56;admin.;married;secondary;no;45;no;no;unknown;yes
41;technician;married;secondary;no;1270;yes;no;unknown;yes
46;management;divorced;secondary;no;16;yes;yes;unknown;no
57;retired;married;secondary;no;486;yes;no;unknown;no
42;management;single;secondary;no;50;no;no;unknown;no
30;technician;married;secondary;no;152;yes;yes;unknown;no
60;admin.;married;secondary;no;290;yes;no;unknown;no
57;entrepreneur;divorced;secondary;no;-37;no;no;unknown;no
