age;job;marital;education;default;balance;housing;loan;poutcome;y
33;admin.;married;tertiary;no;882;no;no;failure;no
42;admin.;single;secondary;no;-247;yes;yes;other;yes
33;services;married;secondary;no;3444;yes;no;failure;yes
36;management;married;tertiary;no;2415;yes;no;other;no
36;management;married;tertiary;no;0;yes;no;failure;yes
56;technician;married;secondary;no;589;yes;no;success;yes
44;blue-collar;married;secondary;no;1324;yes;no;other;no
26;technician;single;tertiary;no;172;no;yes;other;no
51;admin.;single;secondary;no;3132;no;no;failure;no
34;management;married;tertiary;no;1770;yes;no;other;no
33;unemployed;divorced;secondary;no;1005;yes;no;failure;no
34;admin.;married;tertiary;no;899;yes;no;failure;yes
30;admin.;married;secondary;no;873;yes;no;success;no
30;management;single;tertiary;no;1243;yes;no;failure;no
44;entrepreneur;married;tertiary;no;1631;yes;no;failure;no
51;management;divorced;tertiary;no;119;no;no;failure;no
51;technician;married;secondary;no;58;yes;no;failure;no
34;technician;single;secondary;no;105;yes;no;failure;no
49;management;married;tertiary;no;1533;no;no;failure;no
47;housemaid;married;tertiary;no;228;yes;no;failure;no
40;management;single;secondary;no;1623;yes;no;failure;no
47;blue-collar;married;secondary;no;1484;no;no;failure;no
38;management;married;tertiary;no;494;no;no;other;no
54;technician;single;secondary;no;198;yes;yes;failure;no
52;management;married;tertiary;no;1701;yes;yes;other;no
48;admin.;divorced;secondary;no;295;yes;no;success;no
45;technician;married;secondary;no;1477;yes;no;failure;no
39;admin.;married;secondary;no;401;yes;no;failure;no
39;blue-collar;married;primary;no;3324;no;no;failure;no
37;management;married;tertiary;yes;0;no;no;failure;no
49;management;married;tertiary;no;64;no;no;success;no
43;technician;married;secondary;no;1865;yes;no;failure;no
35;technician;divorced;tertiary;no;1718;yes;yes;other;no
50;management;married;secondary;no;633;no;yes;failure;no
42;technician;single;tertiary;no;35;yes;yes;other;no
56;retired;married;secondary;no;2749;yes;yes;failure;no
51;entrepreneur;married;tertiary;no;209;no;no;failure;no
50;technician;single;secondary;no;246;yes;no;failure;no
45;technician;married;secondary;no;1415;yes;no;failure;no
30;management;married;tertiary;no;101;yes;no;failure;no
39;management;married;tertiary;no;500;yes;no;other;no
34;housemaid;married;tertiary;no;1265;yes;no;failure;no
59;management;married;tertiary;no;0;no;no;failure;no
53;services;married;secondary;no;1364;no;no;failure;no
46;management;single;tertiary;no;46;no;yes;failure;no
56;technician;divorced;secondary;no;689;yes;no;failure;no
49;management;divorced;tertiary;no;2370;yes;yes;other;no
34;admin.;single;secondary;no;0;yes;no;failure;no
32;admin.;single;secondary;no;4344;yes;no;failure;no
54;technician;married;secondary;no;472;yes;yes;failure;no
59;retired;divorced;secondary;no;514;yes;no;other;no
59;management;married;primary;no;252;yes;yes;failure;no
40;technician;married;secondary;no;0;yes;no;failure;no
45;management;married;secondary;no;4425;no;no;failure;no
43;technician;divorced;secondary;no;-36;yes;no;failure;no
43;technician;married;secondary;no;0;no;yes;failure;no
55;entrepreneur;divorced;tertiary;no;1730;no;no;failure;no
49;services;married;secondary;no;202;yes;no;failure;yes
49;entrepreneur;married;tertiary;no;313;yes;no;failure;no
39;blue-collar;single;primary;no;419;yes;no;failure;no
56;admin.;married;secondary;no;1270;yes;no;other;no
44;admin.;married;secondary;no;4826;yes;no;other;no
42;services;married;secondary;no;1048;yes;no;failure;no
41;technician;married;secondary;no;112;yes;no;failure;no
51;technician;married;secondary;no;563;yes;no;failure;no
36;blue-collar;married;secondary;no;1797;yes;yes;failure;no
52;technician;married;tertiary;no;3440;yes;no;failure;no
42;entrepreneur;married;tertiary;no;373;no;no;failure;no
45;technician;married;secondary;no;2020;yes;no;failure;no
35;entrepreneur;married;secondary;no;24;yes;no;failure;no
38;management;married;tertiary;no;425;yes;no;failure;no
47;technician;married;secondary;no;80;no;yes;failure;no
43;self-employed;married;secondary;no;634;yes;no;failure;no
33;blue-collar;married;secondary;no;0;yes;no;other;no
40;blue-collar;single;secondary;no;677;yes;no;other;no
54;technician;married;secondary;no;899;no;yes;other;no
50;management;married;tertiary;no;830;no;no;failure;no
54;services;married;secondary;no;2719;yes;no;failure;no
44;unemployed;married;secondary;no;0;yes;no;failure;no
43;blue-collar;divorced;secondary;no;-259;no;no;other;no
51;management;married;tertiary;no;248;yes;yes;failure;no
42;technician;single;secondary;no;-15;no;no;failure;no
46;services;divorced;secondary;no;0;no;no;success;no
50;management;married;tertiary;no;4;no;no;failure;no
44;management;married;tertiary;no;1451;yes;no;failure;no
41;unemployed;married;primary;no;557;yes;no;failure;no
37;management;single;tertiary;no;600;yes;no;failure;no
53;admin.;married;secondary;no;350;no;yes;failure;no
53;self-employed;married;secondary;no;248;no;yes;failure;no
52;technician;married;secondary;no;1818;no;yes;failure;no
36;management;divorced;tertiary;no;3837;yes;no;success;no
37;admin.;married;tertiary;no;0;yes;no;failure;no
44;management;married;tertiary;no;58;yes;no;failure;no
59;management;divorced;tertiary;no;3552;yes;no;other;no
32;admin.;married;secondary;no;0;yes;yes;failure;no
41;management;married;tertiary;no;20;yes;no;failure;no
37;services;married;secondary;yes;-954;yes;no;failure;no
43;housemaid;married;primary;no;0;no;yes;failure;no
51;blue-collar;married;primary;no;230;yes;no;failure;no
56;management;married;tertiary;no;505;yes;yes;failure;no
44;services;married;secondary;no;3843;yes;no;other;no
56;management;single;primary;no;109;no;yes;other;no
39;self-employed;married;tertiary;no;5;yes;no;other;no
38;technician;married;secondary;no;821;yes;yes;failure;no
42;technician;married;primary;no;275;no;no;failure;no
34;management;single;tertiary;no;1049;yes;no;failure;no
51;blue-collar;married;secondary;no;1414;yes;no;failure;no
38;blue-collar;married;primary;no;0;yes;no;failure;no
