hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,country_full_name,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,customer_type,adr
Resort Hotel,0,2015,July,1,0,0,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,0
Resort Hotel,0,2015,July,1,0,0,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,0
Resort Hotel,0,2015,July,1,0,1,1,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,75
Resort Hotel,0,2015,July,1,0,1,1,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,75
Resort Hotel,0,2015,July,1,0,2,2,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,98
Resort Hotel,0,2015,July,1,0,2,2,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,98
Resort Hotel,0,2015,July,1,0,2,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,107
Resort Hotel,0,2015,July,1,0,2,2,0,0,Full Board,PRT,Portugal,0,0,0,Transient,103
Resort Hotel,1,2015,July,1,0,3,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,82
Resort Hotel,1,2015,July,1,0,3,2,0,0,Half Board,PRT,Portugal,0,0,0,Transient,105.5
Resort Hotel,1,2015,July,1,0,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,123
Resort Hotel,0,2015,July,1,0,4,2,0,0,Half Board,PRT,Portugal,0,0,0,Transient,145
Resort Hotel,0,2015,July,1,0,4,2,0,0,Bed & Breakfast,USA,United States,0,0,0,Transient,97
Resort Hotel,0,2015,July,1,0,4,2,1,0,Half Board,ESP,Spain,0,0,0,Transient,154.77
Resort Hotel,0,2015,July,1,0,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,94.71
Resort Hotel,0,2015,July,1,0,4,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Transient,97
Resort Hotel,0,2015,July,1,0,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Contract,97.5
Resort Hotel,0,2015,July,1,0,1,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Transient,88.2
Resort Hotel,0,2015,July,1,0,1,2,0,0,Bed & Breakfast,FRA,France,0,0,0,Transient,107.42
Resort Hotel,0,2015,July,1,0,4,2,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,153
Resort Hotel,0,2015,July,1,1,4,1,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,97.29
Resort Hotel,0,2015,July,1,2,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,84.67
Resort Hotel,0,2015,July,1,2,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,84.67
Resort Hotel,0,2015,July,1,2,4,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,99.67
Resort Hotel,0,2015,July,1,2,5,2,0,0,Half Board,GBR,United Kingdom,0,0,0,Contract,94.95
Resort Hotel,0,2015,July,1,2,5,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,63.6
Resort Hotel,0,2015,July,1,2,5,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Contract,79.5
Resort Hotel,1,2015,July,1,2,5,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,107
Resort Hotel,0,2015,July,1,2,5,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,94
Resort Hotel,0,2015,July,1,2,5,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,87.3
Resort Hotel,0,2015,July,1,4,11,2,0,0,Bed & Breakfast,GBR,United Kingdom,0,0,0,Transient,63.86
Resort Hotel,1,2015,July,1,2,8,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,108.3
Resort Hotel,0,2015,July,2,2,4,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Transient,65.5
Resort Hotel,1,2015,July,2,1,3,3,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,108.8
Resort Hotel,1,2015,July,2,1,3,3,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,108.8
Resort Hotel,0,2015,July,2,1,3,2,0,0,Bed & Breakfast,ESP,Spain,0,0,0,Transient,98
Resort Hotel,0,2015,July,2,1,3,3,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,108.8
Resort Hotel,1,2015,July,2,1,3,3,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,108.8
Resort Hotel,0,2015,July,2,2,3,2,0,0,Half Board,ROU,Romania,0,0,0,Transient,137
Resort Hotel,1,2015,July,2,2,3,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,117.81
Resort Hotel,0,2015,July,2,2,3,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Contract,79.5
Resort Hotel,0,2015,July,2,2,3,2,0,0,Bed & Breakfast,ESP,Spain,0,0,0,Transient,123
Resort Hotel,0,2015,July,2,2,3,2,0,0,Half Board,ROU,Romania,0,0,0,Transient,137
Resort Hotel,0,2015,July,2,2,5,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,110.7
Resort Hotel,1,2015,July,2,2,5,2,2,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,153
Resort Hotel,0,2015,July,2,2,5,2,0,0,Bed & Breakfast,ESP,Spain,0,0,0,Transient,58.95
Resort Hotel,0,2015,July,2,2,5,2,0,0,Bed & Breakfast,NOR,Norway,0,0,0,Transient-Party,82.88
Resort Hotel,0,2015,July,2,2,5,2,0,0,Half Board,GBR,United Kingdom,0,0,0,Contract,82.35
Resort Hotel,0,2015,July,2,2,5,2,0,0,Half Board,IRL,Ireland,0,0,0,Transient,119.35
Resort Hotel,0,2015,July,2,2,5,2,0,0,Bed & Breakfast,NOR,Norway,0,0,0,Transient-Party,67.58
Resort Hotel,0,2015,July,2,3,8,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Contract,56.01
Resort Hotel,0,2015,July,2,4,10,2,0,0,Bed & Breakfast,OMN,Oman,0,0,0,Contract,110.7
Resort Hotel,0,2015,July,2,0,1,2,0,0,Bed & Breakfast,ESP,Spain,0,0,0,Transient,88.2
Resort Hotel,0,2015,July,2,0,1,2,0,0,Bed & Breakfast,ARG,Argentina,0,0,0,Transient,147
Resort Hotel,0,2015,July,2,0,1,2,2,0,Bed & Breakfast,ESP,Spain,0,0,0,Transient,107
Resort Hotel,0,2015,July,2,0,1,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,147
Resort Hotel,0,2015,July,2,0,1,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,117.9
Resort Hotel,0,2015,July,2,0,1,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,123
Resort Hotel,0,2015,July,2,0,2,2,0,0,Bed & Breakfast,USA,United States,0,0,0,Transient,98
Resort Hotel,0,2015,July,2,0,2,2,0,0,Bed & Breakfast,PRT,Portugal,0,0,0,Transient,117.81
Resort Hotel,0,2015,July,2,0,2,2,0,0,Bed & Breakfast,IRL,Ireland,0,0,0,Transient,135
